Date,Task,Quantity,Desc,Start Time,End Time,Who,First Name,Last Name,Spots/Items,Comment,Hours tracking,Email,Phone,Signup Time (GMT)
2015-07-04,Raker AM,4,"",8:00 am,12:00 pm,User B,User B,,1,"",4.0,userb.10000@yahoo.com,9786212724,2015-06-30 17:01:19
2015-07-04,Raker AM,4,"",8:00 am,12:00 pm,User D,User D,,1,"",4.0,userd.10000@yahoo.com,9786212724,2015-06-30 17:03:28
2015-07-04,Raker AM,4,"",8:00 am,12:00 pm,User F,User F,,1,"",4.0,userf.10000@yahoo.com,9786212724,2015-06-30 17:07:21
2015-07-04,Raker AM,4,"",8:00 am,12:00 pm,User A,User A,,1,"",4.0,usera.10000@yahoo.com,9786212724,2015-06-30 17:49:19
2015-07-04,Raker PM,4,"",12:30 pm,5:00 pm,User B,User B,,1,"",4.5,userb.10000@yahoo.com,9786212724,2015-06-30 17:01:20
2015-07-04,Raker PM,4,"",12:30 pm,5:00 pm,User D,User D,,1,"",4.5,userd.10000@yahoo.com,9786212724,2015-06-30 17:03:42
2015-07-04,Raker PM,4,"",12:30 pm,5:00 pm,User F,User F,,1,"",4.5,userf.10000@yahoo.com,9786212724,2015-06-30 17:07:24
2015-07-04,Raker PM,4,"",12:30 pm,5:00 pm,User A,User A,,1,"",4.5,usera.10000@yahoo.com,9786212724,2015-06-30 17:49:21
2015-07-05,Raker AM,4,"",8:00 am,12:00 pm,User C,User C,,1,"",4.0,userc.10000@yahoo.com,9786212724,2015-06-30 17:02:15
2015-07-05,Raker AM,4,"",8:00 am,12:00 pm,User D,User D,,1,"",4.0,userd.10000@yahoo.com,9786212724,2015-06-30 17:03:43
2015-07-05,Raker AM,4,"",8:00 am,12:00 pm,User F,User F,,1,"",4.0,userf.10000@yahoo.com,9786212724,2015-06-30 17:07:27
2015-07-05,Raker PM,4,"",12:30 pm,5:00 pm,User C,User C,,1,"",4.5,userc.10000@yahoo.com,9786212724,2015-06-30 17:02:35
2015-07-05,Raker PM,4,"",12:30 pm,5:00 pm,User D,User D,,1,"",4.5,userd.10000@yahoo.com,9786212724,2015-06-30 17:03:45
2015-07-05,Raker PM,4,"",12:30 pm,5:00 pm,User B,User B,,1,"",4.5,userb.10000@yahoo.com,9786212724,2015-07-02 16:35:25
2015-07-06,Raker AM,4,"",8:00 am,12:00 pm,User A,User A,,1,"",4.0,usera.10000@yahoo.com,9786212724,2015-07-02 16:35:25
2015-07-06,Raker AM,4,"",8:00 am,12:00 pm,User C,User C,,1,"",4.0,userc.10000@yahoo.com,9786212724,2015-06-30 17:02:36
2015-07-06,Raker AM,4,"",8:00 am,12:00 pm,User F,User F,,1,"",4.0,userf.10000@yahoo.com,9786212724,2015-06-30 17:06:56
2015-07-06,Raker PM,4,"",12:30 pm,5:00 pm,User B,User B,,1,"",4.5,userb.10000@yahoo.com,9786212724,2015-06-30 17:01:16
2015-07-06,Raker PM,4,"",12:30 pm,5:00 pm,User C,User C,,1,"",4.5,userc.10000@yahoo.com,9786212724,2015-06-30 17:02:37
2015-07-06,Raker PM,4,"",12:30 pm,5:00 pm,User F,User F,,1,"",4.5,userf.10000@yahoo.com,9786212724,2015-06-30 17:07:10
2015-07-06,Raker PM,4,"",12:30 pm,5:00 pm,User A,User A,,1,"",4.5,usera.10000@yahoo.com,9786212724,2015-06-30 17:49:48
2015-07-18,Raker AM,4,"",8:00 am,12:00 pm,User B,User B,,1,"",4.0,userb.10000@yahoo.com,9786212724,2015-07-10 18:50:51
2015-07-18,Raker AM,4,"",8:00 am,12:00 pm,User D,User D,,1,"",4.0,userd.10000@yahoo.com,9786212724,2015-07-10 18:50:51
2015-07-18,Raker AM,4,"",8:00 am,12:00 pm,User F,User F,,1,"",4.0,userf.10000@yahoo.com,9786212724,2015-07-10 18:50:51
2015-07-18,Raker AM,4,"",8:00 am,12:00 pm,User A,User A,,1,"",4.0,usera.10000@yahoo.com,9786212724,2015-07-10 18:50:51
2015-07-18,Raker PM,4,"",12:30 pm,5:00 pm,User B,User B,,1,"",4.5,userb.10000@yahoo.com,9786212724,2015-07-10 18:50:51
2015-07-18,Raker PM,4,"",12:30 pm,5:00 pm,User D,User D,,1,"",4.5,userd.10000@yahoo.com,9786212724,2015-07-10 18:50:51
2015-07-18,Raker PM,4,"",12:30 pm,5:00 pm,User F,User F,,1,"",4.5,userf.10000@yahoo.com,9786212724,2015-07-10 18:50:51
2015-07-18,Raker PM,4,"",12:30 pm,5:00 pm,User A,User A,,1,"",4.5,usera.10000@yahoo.com,9786212724,2015-07-10 18:50:52
2015-07-19,Raker AM,4,"",8:00 am,12:00 pm,User C,User C,,1,"",4.0,userc.10000@yahoo.com,9786212724,2015-07-10 18:51:34
2015-07-19,Raker AM,4,"",8:00 am,12:00 pm,User D,User D,,1,"",4.0,userd.10000@yahoo.com,9786212724,2015-07-10 18:51:34
2015-07-19,Raker AM,4,"",8:00 am,12:00 pm,User F,User F,,1,"",4.0,userf.10000@yahoo.com,9786212724,2015-07-10 18:51:34
2015-07-19,Raker PM,4,"",12:30 pm,5:00 pm,User C,User C,,1,"",4.5,userc.10000@yahoo.com,9786212724,2015-07-10 18:51:34
2015-07-19,Raker PM,4,"",12:30 pm,5:00 pm,User D,User D,,1,"",4.5,userd.10000@yahoo.com,9786212724,2015-07-10 18:51:34
